AM
6:30 起床洗澡
7:00 打扫房间
7:30 洗衣服
8:00 到华理
8:30 吃饭
9:00 了解iproute工具
9:30 了解网关与路由区别
10:00 了解linux内核
10:30 跟潘聊对上海户口的向往
11:00 整理进日历
11:30 了解gcc
12:00 完成REMD tutorial
12:30 吃饭
PM
1:00 开始AYFFF的remd
1:30 提交nvt 1000K的模拟
2:00 构建n=3的体系
2:30 完成n3_pr的提交
3:00 n=1的效率查看
3:30 得到温度值
4:00 得到38个初始构型
4:30 提交remd equil模拟
5:00 跟王纪红讨论纤维素
5:30 了解到在进行的多肽
6:00 吃饭
6:30 看加拿大人新疆观点视频
7:00 提交n=3的npt模拟
7:30 到优幕
9:30 看完电影
10:00 回到晶华坊
10:30 提交remd遇到38，39不对应问题
11:00 换做multi而不是multidir解决
11:30 看上海入学新政
